WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8161827167 -41.3107009),2006015,1895679,Road,24,22,,,,,Miramar,Wellington,24/22,Booth Street,"24/22 Booth Street, Miramar, Wellington",77574,174.81618272,-41.31070090,,,Miramar,Wellington,Booth Street,"24/22 Booth Street, Miramar, Wellington",174.8161827167,-41.3107009
POINT (174.8186373167 -41.3104993167),1315555,1657633,Road,,15,A,,,,Miramar,Wellington,15A,Rotherham Terrace,"15A Rotherham Terrace, Miramar, Wellington",91121,174.81863732,-41.31049932,,,Miramar,Wellington,Rotherham Terrace,"15A Rotherham Terrace, Miramar, Wellington",174.8186373167,-41.3104993167
POINT (174.8168244833 -41.31483205),1935809,1873405,Road,106,39,,,,,Miramar,Wellington,106/39,Tahi Street,"106/39 Tahi Street, Miramar, Wellington",349362,174.81682448,-41.31483205,,,Miramar,Wellington,Tahi Street,"106/39 Tahi Street, Miramar, Wellington",174.8168244833,-41.31483205
POINT (174.8146647167 -41.31328925),382786,340269,Road,,35,,,,,Miramar,Wellington,35,Tauhinu Road,"35 Tauhinu Road, Miramar, Wellington",70535,174.81466472,-41.31328925,,,Miramar,Wellington,Tauhinu Road,"35 Tauhinu Road, Miramar, Wellington",174.8146647167,-41.31328925
POINT (174.8120314 -41.3221498333),383183,340648,Road,,58,,,,,Miramar,Wellington,58,Kauri Street,"58 Kauri Street, Miramar, Wellington",73710,174.81203140,-41.32214983,,,Miramar,Wellington,Kauri Street,"58 Kauri Street, Miramar, Wellington",174.8120314,-41.3221498333
POINT (174.8097715833 -41.3226780833),383347,340807,Road,,9,,,,,Miramar,Wellington,9,Kedah Street,"9 Kedah Street, Miramar, Wellington",98240,174.80977158,-41.32267808,,,Miramar,Wellington,Kedah Street,"9 Kedah Street, Miramar, Wellington",174.8097715833,-41.3226780833
POINT (174.8239316833 -41.3024059),387375,344576,Road,,133,,,,,Miramar,Wellington,133,Miramar North Road,"133 Miramar North Road, Miramar, Wellington",97565,174.82393168,-41.30240590,,,Miramar,Wellington,Miramar North Road,"133 Miramar North Road, Miramar, Wellington",174.8239316833,-41.3024059
POINT (174.8153718833 -41.3138091833),387518,344703,Road,,10,,,,,Miramar,Wellington,10,Byron Street,"10 Byron Street, Miramar, Wellington",349349,174.81537188,-41.31380918,,,Miramar,Wellington,Byron Street,"10 Byron Street, Miramar, Wellington",174.8153718833,-41.3138091833
POINT (174.8203106167 -41.3066852),388002,345135,Road,,52,,,,,Miramar,Wellington,52,Miramar North Road,"52 Miramar North Road, Miramar, Wellington",81901,174.82031062,-41.30668520,,,Miramar,Wellington,Miramar North Road,"52 Miramar North Road, Miramar, Wellington",174.8203106167,-41.3066852
POINT (174.8191313667 -41.3121981),388203,345329,Road,,83,,,,,Miramar,Wellington,83,Park Road,"83 Park Road, Miramar, Wellington",77145,174.81913137,-41.31219810,,,Miramar,Wellington,Park Road,"83 Park Road, Miramar, Wellington",174.8191313667,-41.3121981
POINT (174.8195316 -41.31168415),388240,345364,Road,,93,,,,,Miramar,Wellington,93,Park Road,"93 Park Road, Miramar, Wellington",77145,174.81953160,-41.31168415,,,Miramar,Wellington,Park Road,"93 Park Road, Miramar, Wellington",174.8195316,-41.31168415
POINT (174.81685295 -41.3252925333),389531,346516,Road,,454,,,,,Miramar,Wellington,454,Broadway,"454 Broadway, Miramar, Wellington",82062,174.81685295,-41.32529253,,,Miramar,Wellington,Broadway,"454 Broadway, Miramar, Wellington",174.81685295,-41.3252925333
POINT (174.8289085333 -41.3043884833),393458,349925,Road,,115,,,,,Miramar,Wellington,115,Nevay Road,"115 Nevay Road, Miramar, Wellington",77253,174.82890853,-41.30438848,,,Miramar,Wellington,Nevay Road,"115 Nevay Road, Miramar, Wellington",174.8289085333,-41.3043884833
POINT (174.8266890167 -41.3026849167),393618,350082,Road,,205,,,,,Miramar,Wellington,205,Darlington Road,"205 Darlington Road, Miramar, Wellington",96587,174.82668902,-41.30268492,,,Miramar,Wellington,Darlington Road,"205 Darlington Road, Miramar, Wellington",174.8266890167,-41.3026849167
POINT (174.8268463167 -41.31085635),393964,350404,Road,,24,,,,,Miramar,Wellington,24,Totara Road,"24 Totara Road, Miramar, Wellington",89315,174.82684632,-41.31085635,,,Miramar,Wellington,Totara Road,"24 Totara Road, Miramar, Wellington",174.8268463167,-41.31085635
POINT (174.8272422667 -41.30757825),394187,350597,Road,,86,,,,,Miramar,Wellington,86,Totara Road,"86 Totara Road, Miramar, Wellington",87992,174.82724227,-41.30757825,,,Miramar,Wellington,Totara Road,"86 Totara Road, Miramar, Wellington",174.8272422667,-41.30757825
POINT (174.8251853 -41.32147115),394426,350821,Road,,27,,,,,Miramar,Wellington,27,Seatoun Heights Road,"27 Seatoun Heights Road, Miramar, Wellington",93635,174.82518530,-41.32147115,,,Miramar,Wellington,Seatoun Heights Road,"27 Seatoun Heights Road, Miramar, Wellington",174.8251853,-41.32147115
POINT (174.8206501333 -41.3179567833),1329417,1169867,Road,,119,,,,,Miramar,Wellington,119,Miramar Avenue,"119 Miramar Avenue, Miramar, Wellington",84736,174.82065013,-41.31795678,,,Miramar,Wellington,Miramar Avenue,"119 Miramar Avenue, Miramar, Wellington",174.8206501333,-41.3179567833
POINT (174.8176628 -41.3125196167),1558997,1691632,Road,,27,D,,,,Miramar,Wellington,27D,Brussels Street,"27D Brussels Street, Miramar, Wellington",349347,174.81766280,-41.31251962,,,Miramar,Wellington,Brussels Street,"27D Brussels Street, Miramar, Wellington",174.8176628,-41.3125196167
POINT (174.8140185667 -41.32483815),1604342,1700533,Road,,401,B,,,,Miramar,Wellington,401B,Broadway,"401B Broadway, Miramar, Wellington",101107,174.81401857,-41.32483815,,,Miramar,Wellington,Broadway,"401B Broadway, Miramar, Wellington",174.8140185667,-41.32483815
POINT (174.8169522833 -41.32294315),1614531,1703085,Road,,15,A,,,,Miramar,Wellington,15A,Torridon Road,"15A Torridon Road, Miramar, Wellington",92989,174.81695228,-41.32294315,,,Miramar,Wellington,Torridon Road,"15A Torridon Road, Miramar, Wellington",174.8169522833,-41.32294315
POINT (174.8190925 -41.3142258833),1638496,1708988,Road,,52,A,,,,Miramar,Wellington,52A,Brussels Street,"52A Brussels Street, Miramar, Wellington",349354,174.81909250,-41.31422588,,,Miramar,Wellington,Brussels Street,"52A Brussels Street, Miramar, Wellington",174.8190925,-41.3142258833
POINT (174.81864965 -41.3244730667),1676245,1717176,Road,,10,A,,,,Miramar,Wellington,10A,The Quadrant,"10A The Quadrant, Miramar, Wellington",80864,174.81864965,-41.32447307,,,Miramar,Wellington,The Quadrant,"10A The Quadrant, Miramar, Wellington",174.81864965,-41.3244730667
POINT (174.8098443333 -41.3234519),383078,340548,Road,,35,,,,,Miramar,Wellington,35,Miro Street,"35 Miro Street, Miramar, Wellington",90287,174.80984433,-41.32345190,,,Miramar,Wellington,Miro Street,"35 Miro Street, Miramar, Wellington",174.8098443333,-41.3234519
POINT (174.8116497667 -41.32309465),383107,340575,Road,,40,,,,,Miramar,Wellington,40,Kauri Street,"40 Kauri Street, Miramar, Wellington",73710,174.81164977,-41.32309465,,,Miramar,Wellington,Kauri Street,"40 Kauri Street, Miramar, Wellington",174.8116497667,-41.32309465
POINT (174.8215805333 -41.3045532667),387480,344675,Road,,95,,,,,Miramar,Wellington,95,Miramar North Road,"95 Miramar North Road, Miramar, Wellington",74193,174.82158053,-41.30455327,,,Miramar,Wellington,Miramar North Road,"95 Miramar North Road, Miramar, Wellington",174.8215805333,-41.3045532667
POINT (174.8205344667 -41.3104017667),387553,344738,Road,,121,,,,,Miramar,Wellington,121,Park Road,"121 Park Road, Miramar, Wellington",97519,174.82053447,-41.31040177,,,Miramar,Wellington,Park Road,"121 Park Road, Miramar, Wellington",174.8205344667,-41.3104017667
POINT (174.82320205 -41.3052606333),387657,344830,Road,,15,,,,,Miramar,Wellington,15,Manuka Street,"15 Manuka Street, Miramar, Wellington",96581,174.82320205,-41.30526063,,,Miramar,Wellington,Manuka Street,"15 Manuka Street, Miramar, Wellington",174.82320205,-41.3052606333
POINT (174.8209567667 -41.31298225),388035,345168,Road,,57,,,,,Miramar,Wellington,57,Rex Street,"57 Rex Street, Miramar, Wellington",97559,174.82095677,-41.31298225,,,Miramar,Wellington,Rex Street,"57 Rex Street, Miramar, Wellington",174.8209567667,-41.31298225
POINT (174.8208999833 -41.30627165),388065,345196,Road,,60,,,,,Miramar,Wellington,60,Miramar North Road,"60 Miramar North Road, Miramar, Wellington",81901,174.82089998,-41.30627165,,,Miramar,Wellington,Miramar North Road,"60 Miramar North Road, Miramar, Wellington",174.8208999833,-41.30627165
POINT (174.8200345833 -41.3062621833),388083,345214,Road,,63,,,,,Miramar,Wellington,63,Miramar North Road,"63 Miramar North Road, Miramar, Wellington",81901,174.82003458,-41.30626218,,,Miramar,Wellington,Miramar North Road,"63 Miramar North Road, Miramar, Wellington",174.8200345833,-41.3062621833
POINT (174.8207614833 -41.3197434167),388915,345979,Road,,63,,,,,Miramar,Wellington,63,Otaki Street,"63 Otaki Street, Miramar, Wellington",94356,174.82076148,-41.31974342,,,Miramar,Wellington,Otaki Street,"63 Otaki Street, Miramar, Wellington",174.8207614833,-41.3197434167
POINT (174.8200384833 -41.3198578167),388939,346002,Road,,69,,,,,Miramar,Wellington,69,Ira Street,"69 Ira Street, Miramar, Wellington",91548,174.82003848,-41.31985782,,,Miramar,Wellington,Ira Street,"69 Ira Street, Miramar, Wellington",174.8200384833,-41.3198578167
POINT (174.8231048667 -41.3158193833),388961,346021,Road,,70,,,,,Miramar,Wellington,70,Townsend Road,"70 Townsend Road, Miramar, Wellington",86149,174.82310487,-41.31581938,,,Miramar,Wellington,Townsend Road,"70 Townsend Road, Miramar, Wellington",174.8231048667,-41.3158193833
POINT (174.8287739 -41.3045436667),393457,349924,Road,,113,,,,,Miramar,Wellington,113,Nevay Road,"113 Nevay Road, Miramar, Wellington",77253,174.82877390,-41.30454367,,,Miramar,Wellington,Nevay Road,"113 Nevay Road, Miramar, Wellington",174.8287739,-41.3045436667
POINT (174.8176243 -41.3205339833),1529530,1792046,Road,2,12,,,,,Miramar,Wellington,2/12,Aparima Avenue,"2/12 Aparima Avenue, Miramar, Wellington",96618,174.81762430,-41.32053398,,,Miramar,Wellington,Aparima Avenue,"2/12 Aparima Avenue, Miramar, Wellington",174.8176243,-41.3205339833
POINT (174.8244183333 -41.31695625),1666426,1802539,Road,2,83,,,,,Miramar,Wellington,2/83,Townsend Road,"2/83 Townsend Road, Miramar, Wellington",101102,174.82441833,-41.31695625,,,Miramar,Wellington,Townsend Road,"2/83 Townsend Road, Miramar, Wellington",174.8244183333,-41.31695625
POINT (174.81958135 -41.3081459833),1673084,1802965,Road,3,29,,,,,Miramar,Wellington,3/29,Miramar North Road,"3/29 Miramar North Road, Miramar, Wellington",82641,174.81958135,-41.30814598,,,Miramar,Wellington,Miramar North Road,"3/29 Miramar North Road, Miramar, Wellington",174.81958135,-41.3081459833
POINT (174.8122321 -41.3199029833),382900,340377,Road,,125,,,,,Miramar,Wellington,125,Wexford Road,"125 Wexford Road, Miramar, Wellington",77504,174.81223210,-41.31990298,,,Miramar,Wellington,Wexford Road,"125 Wexford Road, Miramar, Wellington",174.8122321,-41.3199029833
POINT (174.8149642167 -41.3226113167),382902,340379,Road,,12,,,,,Miramar,Wellington,12,Strathavon Road,"12 Strathavon Road, Miramar, Wellington",74663,174.81496422,-41.32261132,,,Miramar,Wellington,Strathavon Road,"12 Strathavon Road, Miramar, Wellington",174.8149642167,-41.3226113167
POINT (174.8143109833 -41.3177529167),382960,340435,Road,,18,,,,,Miramar,Wellington,18,Stone Street,"18 Stone Street, Miramar, Wellington",349365,174.81431098,-41.31775292,,,Miramar,Wellington,Stone Street,"18 Stone Street, Miramar, Wellington",174.8143109833,-41.3177529167
POINT (174.8131915667 -41.3247061167),382966,340441,Road,,19,,,,,Miramar,Wellington,19,Wayside,"19 Wayside, Miramar, Wellington",81594,174.81319157,-41.32470612,,,Miramar,Wellington,Wayside,"19 Wayside, Miramar, Wellington",174.8131915667,-41.3247061167
POINT (174.8142460333 -41.3226332333),383143,340611,Road,,4,,,,,Miramar,Wellington,4,Strathavon Road,"4 Strathavon Road, Miramar, Wellington",74663,174.81424603,-41.32263323,,,Miramar,Wellington,Strathavon Road,"4 Strathavon Road, Miramar, Wellington",174.8142460333,-41.3226332333
POINT (174.8134735167 -41.3205216833),383294,340756,Road,,83,,,,,Miramar,Wellington,83,Hobart Street,"83 Hobart Street, Miramar, Wellington",85268,174.81347352,-41.32052168,,,Miramar,Wellington,Hobart Street,"83 Hobart Street, Miramar, Wellington",174.8134735167,-41.3205216833
